subject,Naive Bayes,Logistic Regression,k-NN,Multilayer Perceptron,Random Forest,SVM (Linear),SVM (RBF)
0,1.0,0.8,1.0,0.8,1.0,1.0,1.0
1,0.8,0.8,0.8,0.8,0.8,0.8,0.0
2,0.8,0.5,0.8,0.5,0.8,0.8,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.8
5,0.5,0.5,0.5,0.5,0.5,0.5,0.8
6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.8
9,0.8,0.8,0.8,0.8,0.8,0.8,0.5
10,1.0,0.8,0.8,0.8,0.8,0.8,0.8
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.8,0.8,0.8,0.8,0.8,0.8,0.8
13,0.8,0.5,0.8,0.5,0.8,0.8,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.8,1.0,0.8,1.0,1.0,0.8
16,0.5,0.5,0.5,0.5,0.5,0.5,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.8
19,1.0,0.8,1.0,0.8,1.0,1.0,1.0
20,0.8,0.5,0.8,0.5,0.8,0.8,0.8
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.8,0.8,0.8,0.8,0.8,0.8,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.8,0.5,0.8,0.5,0.8,0.8,0.5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.5,0.5,0.5,0.5,0.5,0.5,0.5
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.5,0.5,0.5,0.5,0.5,0.5,0.5
36,0.8,0.8,0.8,0.8,0.8,0.8,0.5
37,0.5,0.5,0.5,0.5,0.5,0.5,0.5
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,0.8,0.5,0.8,0.5,0.8,0.8,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.5,0.5,0.5,0.5,0.5,0.5,1.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.8,0.8,0.8,0.8,0.8,0.8,0.5
51,0.5,0.0,0.5,0.5,0.5,0.5,0.5
52,0.8,0.8,0.8,0.8,0.8,0.8,0.5
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,0.8,0.8,0.8,0.8,0.8,0.8,0.0
55,0.8,0.8,0.8,0.8,0.8,0.8,0.8
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,0.8,0.8,0.8,0.8,0.8,0.8,1.0
58,0.5,0.0,0.5,0.0,0.5,0.5,0.8
59,0.8,0.8,0.8,0.8,0.8,0.8,1.0
60,0.5,0.5,0.5,0.5,0.5,0.5,1.0
61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,0.5,0.5,0.5,0.5,0.5,0.5,0.8
64,0.8,0.8,0.8,0.8,0.8,0.8,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.8,0.5,0.8,0.5,0.8,0.8,1.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.5
68,0.8,0.5,0.8,0.5,0.8,0.8,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.0,1.0,1.0,1.0,1.0,1.0,0.5
71,0.8,0.8,0.8,0.8,0.8,0.8,0.5
72,1.0,1.0,1.0,1.0,1.0,1.0,0.5
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,1.0,1.0,1.0,1.0,1.0,0.5
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.8,0.8,0.8,0.8,0.8,0.8,0.8
77,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1.0,1.0,1.0,1.0,1.0,1.0,0.8
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,0.8,0.8,0.8,0.8,0.8,0.8,0.0
86,0.8,0.8,0.8,0.8,0.8,0.8,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.5,0.5,0.5,0.5,0.5,0.5,0.8
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.5,0.5,0.5,0.5,0.5,0.5,0.8
91,0.5,0.5,0.5,0.5,0.5,0.5,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.5
93,0.8,0.8,0.8,0.8,0.8,0.8,0.0
94,0.5,0.5,0.5,0.5,0.5,0.5,0.8
95,0.8,0.8,0.8,0.8,0.8,0.8,1.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.8,0.8,0.8,0.8,0.8,0.8,0.8
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,0.8,0.8,0.8,0.8,0.8,0.8,0.0
101,1.0,1.0,1.0,1.0,1.0,1.0,0.5
102,1.0,0.8,1.0,0.8,1.0,1.0,1.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,0.8,0.8,0.8,0.8,0.8,0.8,1.0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.5,0.0,0.5,0.5,0.5,0.5,0.5
109,0.8,0.8,0.8,0.8,0.8,0.8,1.0
110,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,0.8,0.8,0.8,0.8,0.8,0.8,0.0
114,0.5,0.5,0.5,0.5,0.5,0.5,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.8,0.8,0.8,0.8,0.8,0.8,0.0
117,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.8,0.5,0.5,0.5,0.5,0.5,1.0
121,0.5,0.5,0.5,0.5,0.5,0.5,0.0
122,0.5,0.0,0.5,0.0,0.5,0.5,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.8,0.8,0.8,0.8,0.8,0.8,0.8
127,1.0,0.8,1.0,0.8,1.0,1.0,1.0
128,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129,1.0,1.0,1.0,1.0,1.0,1.0,0.5
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.5,0.5,0.5,0.5,0.5,0.5,0.0
134,1.0,0.5,0.8,0.5,0.8,0.8,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,0.5,0.0,0.5,0.0,0.5,0.5,0.8
139,1.0,0.8,0.8,0.8,0.8,0.8,1.0
140,0.8,0.8,0.8,0.8,0.8,0.8,0.5
141,0.8,0.5,0.5,0.5,0.5,0.5,1.0
142,0.8,0.8,0.8,0.8,0.8,0.8,0.0
143,0.8,0.8,0.8,0.8,0.8,0.8,0.5
144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,1.0,0.8,1.0,0.8,1.0,1.0,1.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.8
147,1.0,0.8,1.0,0.8,1.0,1.0,1.0
148,0.8,0.8,0.8,0.8,0.8,0.8,0.8
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151,0.8,0.8,0.8,0.8,0.8,0.8,0.0
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.5,0.5,0.5,0.5,0.5,0.5,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.5,0.5,0.5,0.5,0.5,0.5,0.8
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,0.8,0.8,0.8,0.8,0.8,0.8,0.5
161,0.5,0.5,0.5,0.5,0.5,0.5,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1.0,1.0,1.0,1.0,1.0,1.0,0.8
165,1.0,0.8,1.0,0.8,1.0,1.0,0.0
166,0.8,0.8,0.8,0.8,0.8,0.8,1.0
167,0.8,0.5,0.8,0.5,0.8,0.8,0.0
168,0.5,0.5,0.5,0.5,0.5,0.5,1.0
169,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,0.8,0.5,0.8,0.5,0.8,0.8,1.0
172,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.8,0.0,0.0,0.0,0.0,0.0,1.0
175,0.8,0.5,0.5,0.5,0.5,0.5,0.5
176,1.0,0.8,1.0,0.8,1.0,1.0,0.5
177,0.5,0.5,0.5,0.5,0.5,0.5,0.8
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.8,0.8,0.8,0.8,0.8,0.8,0.0
182,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,0.5,0.5,0.5,0.5,0.5,0.5,0.5
184,0.5,0.0,0.5,0.0,0.5,0.5,0.0
185,1.0,0.8,1.0,0.8,1.0,1.0,0.5
186,0.8,0.8,0.8,0.8,0.8,0.8,1.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.8,0.5,0.8,0.5,0.8,0.8,0.5
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1.0,0.8,1.0,1.0,1.0,1.0,1.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.8
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.8
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.5,0.5,0.5,0.5,0.5,0.5,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,1.0,1.0,1.0,1.0,1.0,1.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0.5,0.5,0.5,0.5,0.5,0.5,0.0
202,0.8,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.8,0.8,0.8,0.8,0.8,0.8,1.0
205,0.8,0.5,0.8,0.5,0.8,0.8,0.0
206,1.0,0.8,1.0,0.8,1.0,1.0,1.0
207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
208,1.0,1.0,1.0,1.0,1.0,1.0,1.0
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.8,0.5,0.5,0.5,0.5,0.5,1.0
212,0.5,0.5,0.5,0.5,0.5,0.5,0.8
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.8,0.8,0.8,0.8,0.8,0.8,1.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,0.8,0.8,0.8,0.8,0.8,0.8,0.8
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,0.8,0.8,0.8,0.8,0.8,0.8,0.5
224,0.5,0.5,0.5,0.5,0.5,0.5,0.5
225,0.5,0.0,0.5,0.0,0.5,0.5,1.0
226,0.5,0.5,0.5,0.5,0.5,0.5,0.5
227,0.0,0.0,0.0,0.0,0.0,0.0,0.8
228,0.8,0.8,0.8,0.8,0.8,0.8,0.0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,0.5,0.0,0.5,0.0,0.5,0.5,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,0.8,0.5,0.8,0.8,0.8,0.8,0.8
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,0.8,0.8,0.8,0.8,0.8,0.8,0.5
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,0.8,0.8,0.8,0.8,0.8,0.8,1.0
240,1.0,0.8,1.0,0.8,1.0,1.0,0.8
241,0.5,0.5,0.5,0.5,0.5,0.5,0.8
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.5,0.5,0.5,0.5,0.5,0.5,0.8
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.8,0.8,0.8,0.8,0.8,0.8,0.8
248,0.5,0.5,0.5,0.5,0.5,0.5,1.0
249,0.5,0.0,0.5,0.0,0.5,0.5,0.8
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
